71-AHU-39ReturnAirTemperature,AHU-39-ReturnAirTemp
71-AHU-37SupplyAirTemperature,AHU-37-SupplyAirTemp
B71BELLALabLab146CERC[ExpCave]ZoneTemperature(Cave),146C-ExpCave-ZoneTemp
71-AHU-39ZoneTemperature,AHU-39-ZoneTemp
B71BELLALabLab146ERC[Zone1(NE)]SupplyAirTemperature(Laser1),146-Zone1NE-Laser1-SupplyAirTemp
71-AHU-36SupplyAirTemperatureSetpoint,AHU-36-MixedAirTemp
71-AHU-39MixedAirTemperature,AHU-39-MixedAirTemp
B71BELLALabLab146ERC[BeamFocus(S)]SupplyAirTemperature(BeamFocus),146-BeamFocus-SupplyAirTemp
71-AHU-36LeavingAirTemperature(CHWCoil),AHU-36-LeavingAirTemp
71-AHU-38SupplyAirTemperature,AHU-38-SupplyAirTemp
B71BELLALabLab146CERC[ExpCave]SupplyAirTemperature(Cave),146C-ExpCave-SupplyAirTemp
B71BELLALabLab146ERC[Zone1(NE)]ZoneTemperature(Laser1),146-Zone1NE-Laser1-ZoneTemp
B71BELLALabLab146ERC[BeamFocus(S)]ZoneTemperature(BeamFocus),146-BeamFocus-ZoneTemp
B71BELLALabLab146ERC[Zone2(NW)]ZoneTemperature(Laser2),146-Zone2NW-Laser2-ZoneTemp
B71BELLALabLab146ERC[Zone4(SW)]ZoneTemperature(Laser4),146-Zone4SW-Laser4-ZoneTemp
B71CHWPlantPrimaryCHWSupplyTemperature,CHW-SupplyTemp
B71BELLALabLab146ERC[Zone4(SW)]SupplyAirTemperature(Laser4),146-Zone4SW-SupplyAirTemp
71-AHU-36SupplyAirTemperature,AHU-36-SupplyAirTemp
B71BELLALabLab146ERC[Zone2(NW)]SupplyAirTemperature(Laser2),146-Zone2NW-SupplyAirTemp
71CleanRoomZoneTemperature(CleanRm),CleanRoon-ZoneTemp
71-AHU-34ZoneTemperature,AHU-34-ZoneTemp
71-AHU-36OutsideAirRelativeHumidity,AHU-36-OutsideAirRH
71CleanRoomZoneTemperature,CleanRoon-Zone2Temp
B71BELLALabLab146ERC[Zone3(E)]SupplyAirTemperature(Laser3),146-Zone3E-SupplyAirTemp
71-AHU-38ZoneTemperature,AHU-38-ZoneTemp
B71BELLALabLab126ABERC(Staging/Gowning)SupplyAirTemperature(STAGINGGWNING),126AB-StgGwg-SupplyAirTemp
71BellaVibrationAnalysisNAE7/Programming.Test.TestAV1,TestAV
71-AHU-36PreheatAirTemp,AHU-36-PreheatAirTemp
B71BELLALabLab126ABERC(Staging/Gowning)ZoneTemperature(STAGINGGWNING),126AB-StgGwg-ZoneTemp
71-AHU-38OutsideAirTemperatureLockout,AHU-38-OutsideAirTemp
71CleanRoomZoneRelativeHumidity,CleanRoon-ZoneRH
71-AHU-37ReturnAirTemperature,AHU-37-ReturnAirTemp
71-AHU-38ReturnAirTemperature,AHU-38-ReturnAirTemp
71-AHU-36OutsideAirTemperature,AHU-36-OutsideAirTemp
71-AHU-39SupplyAirTemperature,AHU-39-SupplyAirTemp
71-AHU-34SupplyAirTemperature,AHU-34-SupplyAirTemp
71-AHU-38ZoneRelativeHumidity,AHU-38-ZoneRHTemp
71-AHU-39EconomizerOutsideAirTemperatureLockout,AHU-39-EconomizerOutsideAirTemp
B71BELLALabLab146ERC[Zone3(E)]ZoneTemperature(Laser3),146-Zone3E-Laser3-ZoneTemp
71-AHU-38MixedAirTemperature,AHU-38-MixedAirTemp
71-AHU-36SupplyAirRelativeHumidity,AHU-36-SupplyAirRH
